net,wires
"(19,14)","[(11,4,0),(11,5,0),(12,5,0),(13,5,0)]"
"(3,6)","[(10,11,0),(11,11,0),(12,11,0),(12,10,0)]"
"(14,12)","[(13,5,0),(13,6,0),(13,7,0),(12,7,0),(11,7,0)]"
"(9,19)","[(8,8,0),(9,8,0),(9,7,0),(10,7,0),(10,6,0),(10,5,0),(10,4,0),(11,4,0)]"
"(6,18)","[(12,10,0),(12,10,1),(12,9,1),(12,8,1),(11,8,1),(10,8,1),(9,8,1),(9,7,1),(9,6,1),(9,6,0),(9,5,0),(9,4,0)]"
"(11,6)","[(4,7,0),(4,8,0),(4,9,0),(4,10,0),(5,10,0),(6,10,0),(7,10,0),(8,10,0),(9,10,0),(10,10,0),(11,10,0),(12,10,0)]"
"(11,21)","[(4,7,0),(4,6,0),(3,6,0),(2,6,0),(1,6,0),(1,5,0),(1,4,0),(1,3,0)]"
"(1,16)","[(1,11,0),(1,11,1),(2,11,1),(2,10,1),(2,9,1),(2,8,1),(2,7,1),(2,6,1),(2,5,1),(2,5,0),(2,4,0)]"
"(12,16)","[(11,7,0),(11,7,1),(11,6,1),(11,5,1),(10,5,1),(9,5,1),(8,5,1),(8,5,0),(7,5,0),(6,5,0),(5,5,0),(5,4,0),(4,4,0),(3,4,0),(2,4,0)]"
"(15,2)","[(16,5,0),(16,5,1),(16,6,1),(15,6,1),(14,6,1),(14,7,1),(14,8,1),(13,8,1),(13,9,1),(13,10,1),(13,11,1),(12,11,1),(11,11,1),(10,11,1),(9,11,1),(9,11,0),(8,11,0),(7,11,0),(6,11,0)]"
"(25,13)","[(12,1,0),(13,1,0),(14,1,0),(14,2,0),(14,3,0),(14,4,0),(14,5,0),(15,5,0),(15,6,0),(16,6,0),(16,7,0)]"
"(17,22)","[(6,4,0),(6,3,0),(6,2,0),(5,2,0),(4,2,0),(3,2,0),(2,2,0)]"
"(18,12)","[(9,4,0),(9,4,1),(10,4,1),(11,4,1),(12,4,1),(12,5,1),(12,6,1),(12,6,0),(11,6,0),(11,7,0)]"
"(20,9)","[(15,4,0),(15,4,1),(15,4,2),(14,4,2),(13,4,2),(12,4,2),(11,4,2),(10,4,2),(9,4,2),(8,4,2),(8,5,2),(8,6,2),(8,6,1),(8,6,0),(8,7,0),(8,8,0)]"
"(4,1)","[(15,11,0),(14,11,0),(14,12,0),(13,12,0),(12,12,0),(11,12,0),(10,12,0),(9,12,0),(8,12,0),(7,12,0),(6,12,0),(5,12,0),(5,11,0),(4,11,0),(3,11,0),(2,11,0),(1,11,0)]"
"(15,7)","[(16,5,0),(17,5,0),(17,6,0),(17,7,0),(17,8,0),(16,8,0),(15,8,0),(15,9,0),(14,9,0),(14,10,0)]"
"(23,11)","[(9,2,0),(9,2,1),(8,2,1),(8,3,1),(8,4,1),(7,4,1),(7,5,1),(7,6,1),(7,6,0),(7,7,0),(6,7,0),(5,7,0),(4,7,0)]"
"(5,4)","[(3,10,0),(3,10,1),(3,10,2),(4,10,2),(5,10,2),(6,10,2),(7,10,2),(8,10,2),(9,10,2),(10,10,2),(11,10,2),(12,10,2),(13,10,2),(14,10,2),(14,10,1),(15,10,1),(15,10,0),(15,11,0)]"
"(16,11)","[(2,4,0),(2,4,1),(3,4,1),(3,5,1),(3,6,1),(3,7,1),(3,7,0),(4,7,0)]"
"(13,14)","[(16,7,0),(16,7,1),(16,7,2),(16,6,2),(16,5,2),(15,5,2),(15,5,1),(14,5,1),(13,5,1),(13,5,0)]"
"(13,21)","[(16,7,0),(15,7,0),(15,7,1),(15,7,2),(14,7,2),(13,7,2),(12,7,2),(11,7,2),(10,7,2),(9,7,2),(8,7,2),(8,7,1),(7,7,1),(6,7,1),(5,7,1),(5,6,1),(5,5,1),(5,4,1),(5,3,1),(5,3,0),(4,3,0),(3,3,0),(2,3,0),(1,3,0)]"
"(9,24)","[(8,8,0),(8,8,1),(7,8,1),(6,8,1),(5,8,1),(4,8,1),(4,7,1),(4,6,1),(4,5,1),(4,4,1),(4,3,1),(4,2,1),(4,1,1),(4,1,0),(3,1,0),(2,1,0),(1,1,0)]"
"(16,14)","[(2,4,0),(2,3,0),(2,3,1),(2,3,2),(3,3,2),(4,3,2),(5,3,2),(6,3,2),(6,3,1),(7,3,1),(7,3,0),(8,3,0),(9,3,0),(10,3,0),(11,3,0),(12,3,0),(12,4,0),(13,4,0),(13,5,0)]"
"(12,8)","[(11,7,0),(11,8,0),(12,8,0),(12,9,0)]"
"(24,21)","[(1,1,0),(1,2,0),(1,3,0)]"
"(12,13)","[(11,7,0),(10,7,0),(10,8,0),(10,9,0),(11,9,0),(11,9,1),(11,9,2),(11,8,2),(12,8,2),(13,8,2),(14,8,2),(15,8,2),(15,8,1),(16,8,1),(16,8,0),(16,7,0)]"
"(16,5)","[(2,4,0),(1,4,0),(1,4,1),(1,5,1),(1,6,1),(1,7,1),(1,8,1),(1,8,0),(2,8,0),(2,9,0),(3,9,0),(3,10,0)]"
"(2,23)","[(6,11,0),(6,11,1),(6,10,1),(6,9,1),(6,9,2),(7,9,2),(7,8,2),(7,7,2),(7,6,2),(7,5,2),(7,4,2),(7,3,2),(7,2,2),(7,2,1),(7,2,0),(8,2,0),(9,2,0)]"
"(5,1)","[(3,10,0),(2,10,0),(1,10,0),(1,11,0)]"
"(19,22)","[(11,4,0),(11,4,1),(11,3,1),(11,3,2),(11,3,3),(10,3,3),(10,2,3),(9,2,3),(8,2,3),(7,2,3),(6,2,3),(6,2,2),(5,2,2),(4,2,2),(3,2,2),(3,2,1),(2,2,1),(2,2,0)]"
